Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth-be/auth/jwt/login,80,6,540,586.5420916001312,478.01291599171236,1044.4522500038147,548.75,1.0030919191358685,0.07523189393519014,540,560,590,630,780,900,1000,1000,1000,1000,1000
,Aggregated,80,6,540,586.5420916001312,478.01291599171236,1044.4522500038147,548.75,1.0030919191358685,0.07523189393519014,540,560,590,630,780,900,1000,1000,1000,1000,1000
