Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PATCH,/constructor-be/anket/5010075,1,0,287.7589169947896,287.7589169947896,287.7589169947896,287.7589169947896,2383.0,0.0006663087926396316,0.0,290,290,290,290,290,290,290,290,290,290,290
PATCH,/constructor-be/anket/5010079,1,0,192.14391699642874,192.14391699642874,192.14391699642874,192.14391699642874,2355.0,0.0006663087926396316,0.0,190,190,190,190,190,190,190,190,190,190,190
PATCH,/constructor-be/anket/5010080,1,0,217.67437500238884,217.67437500238884,217.67437500238884,217.67437500238884,2530.0,0.0006663087926396316,0.0,220,220,220,220,220,220,220,220,220,220,220
PATCH,/constructor-be/anket/5010091,1,0,139.0313750016503,139.0313750016503,139.0313750016503,139.0313750016503,2394.0,0.0006663087926396316,0.0,140,140,140,140,140,140,140,140,140,140,140
PATCH,/constructor-be/anket/5010093,1,0,232.36579200602137,232.36579200602137,232.36579200602137,232.36579200602137,2383.0,0.0006663087926396316,0.0,230,230,230,230,230,230,230,230,230,230,230
PATCH,/constructor-be/anket/5010095,1,0,451.1302079918096,451.1302079918096,451.1302079918096,451.1302079918096,2465.0,0.0006663087926396316,0.0,450,450,450,450,450,450,450,450,450,450,450
PATCH,/constructor-be/anket/5010098,1,0,318.02345800679177,318.02345800679177,318.02345800679177,318.02345800679177,2389.0,0.0006663087926396316,0.0,320,320,320,320,320,320,320,320,320,320,320
PATCH,/constructor-be/anket/5010105,1,0,255.57470800413284,255.57470800413284,255.57470800413284,255.57470800413284,2424.0,0.0006663087926396316,0.0,260,260,260,260,260,260,260,260,260,260,260
PATCH,/constructor-be/anket/5010106,1,0,218.657917008386,218.657917008386,218.657917008386,218.657917008386,2425.0,0.0006663087926396316,0.0,220,220,220,220,220,220,220,220,220,220,220
PATCH,/constructor-be/anket/5010108,1,0,343.77620900340844,343.77620900340844,343.77620900340844,343.77620900340844,2511.0,0.0006663087926396316,0.0,340,340,340,340,340,340,340,340,340,340,340
PATCH,/constructor-be/anket/5010111,1,0,324.01312500587665,324.01312500587665,324.01312500587665,324.01312500587665,2399.0,0.0006663087926396316,0.0,320,320,320,320,320,320,320,320,320,320,320
PATCH,/constructor-be/anket/5010116,1,0,153.0327920045238,153.0327920045238,153.0327920045238,153.0327920045238,2337.0,0.0006663087926396316,0.0,150,150,150,150,150,150,150,150,150,150,150
PATCH,/constructor-be/anket/5010127,1,0,244.5475830027135,244.5475830027135,244.5475830027135,244.5475830027135,2450.0,0.0006663087926396316,0.0,240,240,240,240,240,240,240,240,240,240,240
PATCH,/constructor-be/anket/5010134,1,0,585.1530410000123,585.1530410000123,585.1530410000123,585.1530410000123,2492.0,0.0006663087926396316,0.0,590,590,590,590,590,590,590,590,590,590,590
PATCH,/constructor-be/anket/5010137,1,0,876.6072089929366,876.6072089929366,876.6072089929366,876.6072089929366,2484.0,0.0006663087926396316,0.0,880,880,880,880,880,880,880,880,880,880,880
PATCH,/constructor-be/anket/5010138,1,0,368.9452090038685,368.9452090038685,368.9452090038685,368.9452090038685,2458.0,0.0006663087926396316,0.0,370,370,370,370,370,370,370,370,370,370,370
PATCH,/constructor-be/anket/5010142,1,0,576.9792500068434,576.9792500068434,576.9792500068434,576.9792500068434,2381.0,0.0006663087926396316,0.0,580,580,580,580,580,580,580,580,580,580,580
PATCH,/constructor-be/anket/5010148,1,0,522.6059590058867,522.6059590058867,522.6059590058867,522.6059590058867,2353.0,0.0006663087926396316,0.0,520,520,520,520,520,520,520,520,520,520,520
PATCH,/constructor-be/anket/5010149,1,0,531.8619169993326,531.8619169993326,531.8619169993326,531.8619169993326,2462.0,0.0006663087926396316,0.0,530,530,530,530,530,530,530,530,530,530,530
PATCH,/constructor-be/anket/5010157,1,0,588.1186670012539,588.1186670012539,588.1186670012539,588.1186670012539,2388.0,0.0006663087926396316,0.0,590,590,590,590,590,590,590,590,590,590,590
PATCH,/constructor-be/anket/5010158,1,0,617.2462079994148,617.2462079994148,617.2462079994148,617.2462079994148,2572.0,0.0006663087926396316,0.0,620,620,620,620,620,620,620,620,620,620,620
PATCH,/constructor-be/anket/5010161,1,0,616.9303329952527,616.9303329952527,616.9303329952527,616.9303329952527,2367.0,0.0006663087926396316,0.0,620,620,620,620,620,620,620,620,620,620,620
PATCH,/constructor-be/anket/5010164,1,0,655.6952920072945,655.6952920072945,655.6952920072945,655.6952920072945,2488.0,0.0006663087926396316,0.0,660,660,660,660,660,660,660,660,660,660,660
